#U1	H	C	F	X	E	A	L	M	B	G	D
5.86	0.33	0.24	0.12	0.19	0.16	0.15	0.19	0.16	0.21	0.18	0.24
5.88	0.3	0.24	0.12	0.17	0.15	0.15	0.18	0.14	0.19	0.18	0.21
5.9	0.3	0.24	0.12	0.17	0.15	0.16	0.18	0.14	0.18	0.18	0.23
5.93	0.33	0.25	0.13	0.18	0.16	0.14	0.2	0.15	0.19	0.2	0.23
5.95	0.31	0.23	0.13	0.18	0.14	0.14	0.19	0.14	0.2	0.18	0.22
5.98	0.31	0.23	0.13	0.17	0.14	0.15	0.19	0.14	0.19	0.18	0.22
6	0.33	0.26	0.14	0.17	0.14	0.15	0.21	0.14	0.19	0.2	0.25
6.03	0.33	0.23	0.12	0.2	0.14	0.15	0.19	0.15	0.22	0.18	0.25
6.05	0.32	0.23	0.12	0.18	0.14	0.15	0.19	0.14	0.2	0.18	0.22
6.08	0.33	0.25	0.12	0.18	0.14	0.16	0.2	0.14	0.2	0.19	0.25
6.1	0.35	0.23	0.11	0.2	0.15	0.15	0.21	0.16	0.22	0.18	0.25
6.12	0.33	0.23	0.11	0.18	0.14	0.15	0.2	0.15	0.19	0.18	0.22
6.15	0.33	0.24	0.11	0.18	0.14	0.17	0.2	0.15	0.19	0.18	0.25
6.17	0.36	0.24	0.11	0.18	0.16	0.15	0.21	0.16	0.2	0.19	0.27
6.2	0.33	0.24	0.11	0.17	0.14	0.15	0.2	0.15	0.2	0.17	0.25
6.22	0.33	0.24	0.11	0.17	0.14	0.16	0.2	0.15	0.2	0.17	0.25
6.25	0.36	0.26	0.12	0.17	0.16	0.14	0.24	0.15	0.2	0.2	0.28
6.27	0.34	0.24	0.11	0.19	0.14	0.14	0.22	0.16	0.22	0.18	0.28
6.3	0.34	0.24	0.11	0.17	0.14	0.14	0.22	0.15	0.2	0.18	0.25
6.32	0.36	0.26	0.12	0.17	0.14	0.15	0.24	0.15	0.2	0.2	0.29
6.34	0.37	0.23	0.1	0.2	0.14	0.14	0.23	0.17	0.23	0.17	0.29
6.37	0.35	0.23	0.1	0.18	0.14	0.14	0.23	0.15	0.21	0.17	0.26
6.39	0.35	0.25	0.1	0.18	0.14	0.14	0.24	0.15	0.21	0.18	0.29
6.42	0.38	0.24	0.11	0.19	0.16	0.13	0.25	0.17	0.23	0.17	0.31
6.44	0.35	0.24	0.11	0.18	0.14	0.13	0.24	0.15	0.22	0.17	0.28
6.47	0.35	0.24	0.11	0.17	0.14	0.14	0.24	0.15	0.22	0.17	0.3
6.49	0.38	0.25	0.13	0.18	0.16	0.12	0.25	0.16	0.23	0.19	0.34
6.52	0.36	0.24	0.11	0.18	0.14	0.12	0.23	0.16	0.23	0.17	0.32
6.54	0.36	0.24	0.11	0.18	0.14	0.12	0.23	0.16	0.22	0.17	0.33
6.56	0.39	0.27	0.13	0.18	0.14	0.13	0.26	0.16	0.22	0.2	0.37
6.59	0.38	0.24	0.11	0.2	0.15	0.12	0.24	0.17	0.24	0.17	0.37
6.61	0.38	0.24	0.11	0.18	0.15	0.12	0.24	0.16	0.22	0.17	0.34
6.64	0.39	0.26	0.12	0.18	0.15	0.14	0.25	0.16	0.22	0.17	0.38
6.66	0.41	0.24	0.11	0.2	0.16	0.13	0.26	0.18	0.24	0.16	0.39
6.69	0.38	0.24	0.11	0.18	0.15	0.13	0.25	0.16	0.22	0.16	0.35
6.71	0.38	0.25	0.12	0.18	0.15	0.15	0.25	0.16	0.22	0.16	0.38
6.73	0.41	0.25	0.12	0.18	0.16	0.13	0.26	0.17	0.24	0.17	0.42
